respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
364327855,7,2,1,1,1,130,2,1,33460,27,53,1.02,2,5,2,8,2,5,27,9,,,,NA,2,1
364327855,7,1,1,1,1,110,2,1,33460,27,53,267.1,2,5,5,8,1,5,37,6,,,,NA,2,1
364327855,7,2,1,1,1,157,2,3,33460,27,53,268.2,2,5,3,8,2,5,43,0,5,,,NA,2,1
364327855,7,1,1,1,1,208,2,1,33460,27,3,508.18,2,5,5,8,2,5,59,6,,,,NA,2,1
364327855,7,1,1,1,1,250,2,1,33460,27,171,1001,2,2,5,5,1,2,61,6,,,,NA,2,1
364327855,7,3,1,1,1,195,2,1,33460,27,163,709.11,2,5,5,8,1,5,50,6,,,,NA,2,1
364327855,7,1,1,1,1,292,2,1,33460,27,53,253.01,2,2,5,5,1,2,97,6,,,,NA,2,1
364327855,7,2,1,1,1,114,2,1,33460,27,3,511.03,2,2,5,5,1,2,134,9,,,,NA,2,1
364327855,7,1,1,1,1,112,2,1,33460,27,53,268.16,2,5,3,8,1,5,30,3,,,,NA,2,1
364327855,7,2,1,1,1,168,2,1,NA,27,65,4804,2,2,5,5,1,2,62,2,,,,NA,2,1
364327855,7,1,1,1,1,210,2,1,33460,27,163,701.03,2,2,5,5,1,2,123,6,,,,NA,2,1
364327855,7,1,1,3,1,94,3,1,33460,27,123,304,2,5,2,8,1,5,19,3,,,,NA,2,1
364327855,7,1,1,1,1,118,2,1,NA,27,15,9602,2,5,5,8,1,5,44,3,,,,NA,2,1
364327855,7,1,1,1,1,146,2,1,33460,27,37,607.41,2,5,5,8,1,5,41,3,,,,NA,2,1
364327855,7,2,1,1,1,231,2,1,33460,27,37,609.05,2,5,5,8,1,5,77,2,,,,NA,2,1
364327855,7,2,1,1,1,176,2,1,33460,27,53,207,2,5,5,8,1,5,41,6,,,,NA,2,1
364327855,7,1,1,3,1,333,3,1,33460,27,53,268.2,2,2,5,5,1,2,189,7,,,,NA,2,1
364327855,7,2,1,1,1,179,2,1,33460,27,53,1088,2,5,5,8,1,5,40,6,,,,NA,2,1
364327855,7,1,1,1,1,359,2,1,33460,27,141,305.03,2,2,5,5,1,2,83,6,,,,NA,2,1
364327855,7,3,1,1,1,251,2,1,33460,27,3,502.19,2,5,5,8,1,5,52,6,,,,NA,2,1
364327855,7,1,1,1,1,148,2,1,33460,27,3,509.02,2,2,5,5,2,1,57,3,,,,NA,2,1
364327855,7,2,1,1,1,197,2,1,33460,27,25,1103.02,2,5,5,8,1,5,55,6,,,,NA,2,1
364327855,7,1,1,1,1,161,2,1,33460,27,139,803.02,2,5,5,8,2,5,35,3,,,,NA,2,1
364327855,7,2,1,1,1,164,2,1,33460,27,37,604.01,2,5,2,8,1,5,37,2,,,,NA,2,1
364327855,7,1,1,1,1,256,2,1,33460,27,25,1105.02,2,2,5,5,2,1,121,6,,,,NA,2,1
364327855,7,3,1,1,1,367,2,1,33460,27,53,266.06,2,5,5,8,1,5,135,2,,,,NA,2,1
364327855,7,2,1,1,1,151,2,1,NA,27,115,9508,2,2,5,5,1,1,61,9,,,,NA,2,1
364327855,7,1,1,1,1,200,2,1,33460,27,123,407.03,2,5,3,8,2,5,67,3,,,,NA,2,1
364327855,7,1,1,1,1,189,2,1,33460,27,25,1104.01,2,5,5,8,1,5,39,3,,,,NA,2,1
364327855,7,1,1,3,1,130,3,1,33460,27,37,605.07,2,2,5,5,1,2,74,6,,,,NA,2,1
364327855,7,1,1,1,1,361,2,1,33460,27,53,265.08,2,2,5,5,1,2,104,3,,,,NA,2,1
364327855,7,1,1,1,1,210,2,1,33460,27,53,268.2,2,2,5,5,1,2,36,3,,,,NA,2,1
364327855,7,2,1,1,1,189,2,3,33460,27,53,259.06,2,5,5,8,1,5,62,0,4,6,,NA,2,1
