respondent id,agency code,loan type,property type,loan purpose,owner occ,loan amount,pre approval,action taken,msa/md,state,county,census tract,applicant ethnicity,coapp ethnicity,applicant race 1,coapp race,sex,coapp sex,income,type of purchaser,denial reason 1,denial reason 2,denial reason 3,rate of spread,hoepa status,lien status
7197000003,7,2,1,3,1,127,3,1,NA,27,115,9505.00,2,5,5,8,1,5,116,2,,,,NA,2,1
7197000003,7,2,1,3,1,63,3,1,NA,27,015,9602.00,2,5,5,8,2,5,NA,2,,,,NA,2,1
7197000003,7,1,1,3,1,180,3,3,NA,27,147,9607.00,3,3,6,6,3,3,64,0,7,,,NA,2,1
7197000003,7,3,1,3,1,141,3,1,NA,27,049,0801.02,2,5,5,8,2,5,112,2,,,,NA,2,1
7197000003,7,3,1,3,1,186,3,1,33460,27,123,0415.00,3,3,6,6,1,2,97,2,,,,NA,2,1
7197000003,7,1,1,1,1,153,2,1,NA,27,111,9611.00,2,5,5,8,1,5,31,3,,,,NA,2,1
7197000003,7,1,1,3,1,189,3,1,33460,27,053,1101.00,2,2,5,5,2,1,59,1,,,,NA,2,1
7197000003,7,1,1,1,1,300,1,1,33460,27,019,0909.00,2,2,5,5,1,2,134,1,,,,NA,2,1
7197000003,7,1,1,1,1,160,2,3,31860,27,013,1711.01,3,3,6,6,3,3,43,0,1,,,NA,2,1
7197000003,7,1,1,3,1,200,3,3,33460,27,163,0701.05,2,5,5,8,1,5,160,0,7,,,NA,2,1
7197000003,7,1,1,3,1,155,3,3,33460,27,053,1076.00,2,5,5,8,1,5,48,0,1,,,NA,2,1
7197000003,7,1,1,3,1,256,3,1,33460,27,053,1012.00,2,2,5,5,1,2,135,1,,,,NA,2,1
7197000003,7,1,1,3,1,144,3,1,33460,27,123,0411.06,3,3,6,6,3,3,78,1,,,,NA,2,1
7197000003,7,1,1,1,1,311,1,1,33460,27,053,0266.10,2,5,5,8,1,5,93,1,,,,NA,2,1
7197000003,7,1,1,3,1,113,3,1,41060,27,009,0202.03,2,5,5,8,2,5,28,1,,,,NA,2,1
7197000003,7,3,1,3,1,63,3,1,NA,27,007,4502.00,2,2,5,5,1,2,49,2,,,,NA,2,1
7197000003,7,1,1,1,1,89,2,1,20260,27,137,0131.00,2,2,5,5,2,1,87,1,,,,NA,2,1
7197000003,7,1,1,1,1,259,2,1,31860,27,013,1702.00,3,5,5,8,1,5,73,3,,,,NA,2,1
7197000003,7,1,1,1,1,93,2,1,33460,27,163,0710.03,2,5,5,8,1,5,68,3,,,,NA,2,1
7197000003,7,1,1,3,1,87,3,3,33460,27,037,0608.11,2,2,5,5,2,1,46,0,7,,,NA,2,1
7197000003,7,1,1,3,1,343,3,1,33460,27,171,1008.02,2,5,5,8,2,5,198,1,,,,NA,2,1
7197000003,7,2,1,3,1,220,3,3,33460,27,003,0513.02,2,2,5,5,1,2,135,0,7,,,NA,2,1
7197000003,7,1,1,3,1,212,3,3,33460,27,025,1101.00,3,3,6,6,3,3,100,0,5,,,NA,2,1
7197000003,7,1,1,3,1,223,3,2,NA,27,035,9501.00,3,3,6,6,3,3,223,0,,,,NA,2,1
7197000003,7,3,1,3,1,174,3,1,33460,27,053,0253.01,2,5,5,8,1,5,59,2,,,,NA,2,1
7197000003,7,2,1,1,1,291,2,1,33460,27,053,1076.00,2,2,5,5,1,2,241,2,,,,NA,2,1
7197000003,7,2,1,3,1,176,3,1,33460,27,003,0502.17,2,5,5,8,2,5,NA,2,,,,NA,2,1
7197000003,7,1,1,1,1,130,2,1,NA,27,035,9513.01,3,3,6,6,3,3,70,3,,,,NA,2,1
7197000003,7,1,1,1,1,174,2,1,33460,27,141,0305.03,3,5,6,8,3,5,75,1,,,,NA,2,1
7197000003,7,2,1,3,1,122,3,1,NA,27,131,0705.01,3,5,6,8,2,5,38,2,,,,NA,2,1
7197000003,7,1,1,3,1,119,3,3,NA,27,065,4804.00,2,2,6,6,2,1,80,0,4,,,NA,2,1
7197000003,7,1,1,3,1,56,3,1,24220,27,119,0204.00,3,3,6,6,3,2,42,3,,,,NA,2,1
